1,gonna
2,he d
3,he ll
4,he s
5,he'd
6,he'll
7,he's
8,hed
9,here s
10,here's
11,heres
12,hes
13,how s
14,how's
15,hows
16,i d
17,i ll
18,i m
19,i ve
20,i'd
21,i'll
22,i'm
23,i've
24,iam
25,igo
26,im
27,ima
28,it s
29,it's
30,ive
31,let s
32,let's
33,please
34,she d
35,she ll
36,she s
37,she'd
38,she'll
39,she's
40,shes
41,that s
42,that's
43,thats
44,there s
45,there's
46,theres
47,they d
48,they ll
49,they re
50,they ve
51,they'd
52,they'll
53,they're
54,they've
55,theyd
56,theyll
57,theyre
58,theyve
59,we d
60,we ll
61,we re
62,we ve
63,we'd
64,we'll
65,we're
66,we've
67,weve
68,what s
69,what's
70,whats
71,when s
72,when’s
73,whens
74,where s
75,where's
76,wheres
77,who s
78,who's
79,whos
80,why s
81,why's
82,whys
83,you d
84,you ll
85,you re
86,you ve
87,you'd
88,you'll
89,you're
90,you've
91,youd
92,youll
93,youre
94,youve
