1,would order it
2,worth every penny
3,works great
4,works fine
5,worked great
6,work great
7,work fine
8,wont work
9,wont regret
10,won’t work
11,won’t regret
12,won t work
13,without troubles
14,without trouble
15,without problems
16,without problem
17,without efforts
18,without effort
19,without any troubles
20,without any trouble
21,without any scratch
22,without any problems
23,without any problem
24,without a scratch
25,windresistant
26,wind-resistant
27,wind resistant
28,will order 
29,will not work 
30,will not regret
31,what i wanted
32,what i want
33,very lightweight
34,used to it
35,total packages
36,total package
37,timely
38,thumbs up
39,this works
40,this one works
41,sound quality
42,solid
43,so small
44,secure
45,satisfied
46,recommend
47,real find
48,real breakthrough
49,ready to order
50,quality product
51,priced right
52,peachykeen
53,peachy-keen
54,peachy keen
55,on all sides
56,not one scratch
57,not even a scratch
58,not a scratch
59,no troubles
60,no trouble
61,no shifting
62,no scratch
63,no problems
64,no problem
65,no peeling
66,no efforts
67,no effort
68,no bubbling
69,must have
70,more than happy
71,more comfortable
72,major find
73,major discovery
74,major breakthrough
75,major break
76,magnificient
77,lots of compliments
78,lots of compliment
79,lot of compliments
80,lot of compliment
81,long time
82,lightweight
83,light-weight
84,light weight
85,less expensive
86,knows what theyre doing
87,knows what they’re doing
88,knows what they are doing
89,knows what shes doing
90,knows what she’s doing
91,knows what she is doing
92,knows what hes doing
93,knows what he’s doing
94,knows what he is doing
95,know what theyre doing
96,know what they’re doing
97,know what they are doing
98,job done
99,its a ten
100,its a 10
101,it’s a ten
102,it’s a 10
103,it works
104,it works
105,is fine
106,is a ten
107,is a 10
108,helpful
109,helpful
110,have everything
111,has everything
112,hard to find
113,great find
114,got it
115,good bargain
116,gonna order
117,going to order
118,four stars
119,four star
120,five stars
121,five star
122,eyecatching
123,eye-cathing
124,eye catching
125,exactly as
126,dont have to
127,dont even realize
128,don’t have to
129,don’t even realize
130,doesnt mess
131,doesnt have to
132,doesn’t mess
133,doesn’t have to
134,doesn t mess
135,does everything
136,do everything
137,didnt even realize
138,didn’t even realize
139,decent
140,couldnt have been
141,couldnt be more happier
142,couldnt be happier
143,couldnt ask for more
144,couldn’t have been 
145,couldn’t be more happier
146,couldn’t be happier
147,couldn’t ask for more
148,couldn t be more happier
149,couldn t be happier
150,compliments
151,comfortable
152,comfort
153,cheaper
154,cant beat
155,can’t beat
156,buyit
157,buy it
158,big reveal
159,big find 
160,big discovery
161,big breakthrough
162,big break
163,bettr than i expected
164,better than you’d expect
165,better than you would expect
166,better than you expect
167,better than i’d expect
168,better than i would have expected
169,better than i would expect
170,better than i had expected
171,better than i expected
172,better than i expect
173,best purchase
174,are fine
175,any troubles
176,any trouble
177,any problems
178,any problem
179,any efforts
180,any effort
181,again and again
182,a must
183,5stars
184,5star
185,5-star
186,5 stars
187,5 star
188,4stars
189,4star
190,4-star
191,4 stars
192,4 star
